B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory,T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils
MICAL3,LY86,SIK1,LAG3,SIRPG,NKG7,,SIK1,NPAS1,MAGEA11,NME8,LTB,P2RY13,,SLC15A3,,,PTGIR,,,RGS1,NCF2
MS4A1,MBL2,SPAG4,LCK,TCF7,PBXIP1,,SIRPG,NTN3,MAP4K1,PLEKHF1,NAALADL1,PADI4,,SLC2A6,,,RASSF4,,,RGS13,NFE2
NIPSNAP3B,MS4A1,ST6GALNAC4,LEF1,TRAC,PTGER2,,SLC7A10,PCDHA5,PLEKHG3,PRF1,NCR3,RNASE2,,SOCS1,,,RSAD2,,,RNASE2,P2RY13
NMBR,NMBR,TGM5,LIME1,TRAT1,PTPRCAP,,ST8SIA1,PLCH2,PRF1,PRR5L,NKG7,RNASE6,,TLR7,,,SIGLEC1,,,RRP12,P2RY14
P2RX5,NPIPB15,TMEM156,LTB,TRAV13-1,RASA3,,TCF7,PMCH,PTGDR,PTGDR,OSM,S100A12,,TLR8,,,SLC15A3,,,SAMSN1,PADI4
P2RY14,P2RX5,TNFRSF17,LY9,TRBC1,RASGRP2,,TNFRSF4,PTGIR,PVRIG,PTPRCAP,PRF1,SLC15A3,,TNFAIP6,,,SLC2A6,,,SMPD3,PGLYRP1
PNOC,PNOC,UGT2B17,MAP4K1,UBASH3A,RCAN3,,TRAC,PTPRG,SCN9A,PVRIG,PRR5L,TLR2,,TNIP3,,,SLCO5A1,,,SMPDL3B,PLEKHG3
PSG2,PTPRCAP,ZBP1,MAP9,VILL,RPL10L,,TRAT1,RCAN3,SH2D1A,S1PR5,PTGDR,TLR7,,TRPM4,,,ST3GAL6,,,ST3GAL6,QPCT
PTPRCAP,RALGPS2,ZNF165,NCR3,WNT7A,RPL3P7,,TRAV13-1,RYR1,SIRPG,SH2D1A,PTGER2,TLR8,,,,,TMEM255A,,,TREML2,REPS2
RALGPS2,RASGRP2,,NKG7,ZAP70,SH2D1A,,TRAV8-6,SEC31B,SIT1,TBX21,PTPRCAP,UPK3A,,,,,TNFAIP6,,,TRPM6,S100A12
RASGRP2,SIK1,,PIK3IP1,ZNF204P,SIRPG,,TRAV9-2,5-Sep,SKAP1,TEP1,PVRIG,VNN1,,,,,TNFRSF11A,,,ZNF222,STEAP4
SELL,SIT1,,PRF1,ZNF324,ST8SIA1,,TRBC1,SH2D1A,TARDBPP1,TRBC1,S1PR5,VNN2,,,,,TNFRSF4,,,,TLR2
SIK1,SLC12A1,,PTGDR,,TCF7,,TRIB2,SIRPG,TCF7,TRDC,SH2D1A,,,,,,TREM2,,,,TLR8
SLC12A1,SP140,,PTPRCAP,,TRAC,,TSHR,SIT1,TRBC1,TTC38,SOCS1,,,,,,,,,,TNFAIP6
SPIB,SPIB,,PVRIG,,TRAT1,,UBASH3A,SKAP1,TRDC,TXK,TBX21,,,,,,,,,,TNFRSF10C
STAP1,STAP1,,RASA3,,TRAV13-1,,ZAP70,SPOCK2,UBASH3A,ZAP70,TNFSF14,,,,,,,,,,TREM1
TCL1A,TMEM156,,RPL3P7,,TRAV13-2,,ZBTB10,SSX1,VNN2,ZNF135,TRDC,,,,,,,,,,TREML2
UGT1A8,TNFRSF13B,,SH2D1A,,TRAV21,,,TRAC,ZNF442,,TXK,,,,,,,,,,VNN1
VPREB3,TNFRSF17,,SIRPG,,TRAV8-6,,,TRAT1,,,ZAP70,,,,,,,,,,VNN2
ZNF286A,TRAF4,,TCF7,,TRAV9-2,,,TRAV9-2,,,,,,,,,,,,,VNN3
,VPREB3,,TRAC,,TRBC1,,,TRBC1,,,,,,,,,,,,,
,ZBTB32,,TRAT1,,UBASH3A,,,TYR,,,,,,,,,,,,,
,,,TRAV12-2,,ZAP70,,,UBASH3A,,,,,,,,,,,,,
,,,TRAV13-1,,ZFP36L2,,,ZAP70,,,,,,,,,,,,,
,,,TRBC1,,,,,,,,,,,,,,,,,,
,,,TRDC,,,,,,,,,,,,,,,,,,
,,,UBASH3A,,,,,,,,,,,,,,,,,,
,,,ZAP70,,,,,,,,,,,,,,,,,,
