ArrayID	Name	BitVector
ZNF526	ZNF526: ZNF526	11111111111101111201111110112111111101111111111111001111120111111111211111111111121112212112111111111111211110111211111110110011111111
PSENEN	PSENEN: PSENEN	01111111201101001202111100100102111010002001012111111111210111121102111011220111021110212021220111101111010110211120102100111120100000
RETN	RETN: RETN	00020021000020022200021120210020002022002000222000220222102000000202002020012000001200102022120222102002010220210020000000022200000100
ANKRD53	ANKRD53: ANKRD53	21002112220021120210121222000122000022122110222201222011002101011222000110002010202210212121010112212102121202002002020202122101112122
MIR517A	MIR517A: MIR517A	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
C6orf52	C6orf52: C6orf52	12112101210021212222212120011112120020022202122121002120111222122121120110222101120201202221221201112221012221201121102010021220222211
NCRNA00157	NCRNA00157: NCRNA00157	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000
C14orf21	C14orf21: C14orf21	21111211122202111210211201221110222202211222110212111221121210210110102121201122221012111102112221120121211012021212221221101102011211
TRDMT1	TRDMT1: TRDMT1	21112121011121112020121112112121121111121121120111111112012121111121112211112111111122020211101111110112221022011111120212122101112111
CCL25	CCL25: CCL25	01002000000000020020002022000002000022220020000000200000002000002220000200002000202200000200000200020001012202002002020001020000202222
MRPS12	MRPS12: MRPS12	02111001201101001202100000110201111110002102002111011110210112121001110012220101021001202121221000002120100101210120202010110021110000
SEC22C	SEC22C: SEC22C	21111111010121222010021122111022111112220110220111111012002110101121002210002111202111010201011122220111112112012012120212112201112122
KRTAP2-4	KRTAP2-4: KRTAP2-4	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
ADAM7	ADAM7: ADAM7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000
HAO1	HAO1: HAO1	20002001000020000200000020000022000020010000000000000000002000000000000200001000000000000000000000000000022001002000000001000100000210
HOXA3	HOXA3: HOXA3	02210201212212100212201101222210210211101222102122101210120222220111220202221111121012111110221101000111211101111201102021110022121111
DTNA	DTNA: DTNA	01001021011020122020022022111020001022220120210000210001002000002222010201002000202210020201002222210002122201011002020102112101122222
TMEM22	TMEM22: TMEM22	20121021010020222020022222100120001112221000220201221012002000001222012210002121102110020012002122211002121111012021020202222200212112
LOC100287792	LOC100287792: LOC100287792	00200200000101000000000000000000000000000210000000000000100000000012000000000000100100000000000000000000000000000000000200000000110000
SLC10A5	SLC10A5: SLC10A5	02212202212202010022202211222222211201020222002222211221220222210220220222222222220122212220111200000220222222121202212020220012222220
ANKRD20A5P	ANKRD20A5P: ANKRD20A5P	22221202122202110121121222222112220202210220012222121220120122200120222121112212201122110121002202211210202022111202221121212012222201
MYO5C	MYO5C: MYO5C	02211201122202110011201100222110211201111212001222110221220221210110211122211222120022121011111100010220221011011201211021110012021110
SETX	SETX: SETX	20121121011121211010121112111011121102120121210111111111112110101121112211001111111112020201001112111111111122011102120212112201111111
ZNF654	ZNF654: ZNF654	21221221022222121021121112212011121201120221120112220211122221200121112221112122111122020211002122221111221022011211220222212202121211
