ArrayID	Name	BitVector
CSNK2A1	212072_s_at	212121222222222222222222222222222222222222222122222222222222222222222222222222222220110111010021020112222222222221112222112222222222222222222222222222222222222222222222222112222222222222222222222222222222222111211222222222222222
SLC35D1	209712_at	222222222222222222222221222222222222222222222222222222222222122222222222222222222220220220010021020122222222222222122121111222122212122201122222222122212222222121211222212111112222112122222111222221122121112100000112222222211222
MORF4L1	217982_s_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222210221220120022020122222222222222222222122222222222222222222222222222222222222222222222222122222222222222222222222222222222222210100222222222222222
MTMR11	205076_s_at	222222222222222222222222222222222222122212222222222122221222212122210111011001011110210221000011020022222222222222122000000222022110101101010111212211211111111100100212202120201112011111121121111221112210201110100221110000000000
TMEM181	225127_at	222222222212222222222222222222122222222222222222222222222222222222212011111111111110110010020002010012222222222222122122122222222222222222222222222222222222221222222222212121222222222122222221222222222121222210101222221122211211
TMEM200B	227386_s_at	000111001111111111101110111011110000111111111011111110111111101110101110110101112001002001120021021021111100010112111120110111201211111222212222111020011212212100000001001000011000100000001000110001100010000000000101001111111111
CYBRD1	222453_at	112110111101212110022102022012022022122212222122112222222222212111122111222222212010021200120010020022222212122212211000000110222222222222222222222121122222222200210100200000010010011000010010010100000000010000000000002121121112
C11orf57	218314_s_at	000011011111111111011110001111001011112121211111111111111111111111101112111110110100000000010000000001011111111110011111111110211112121211122222111121112111112101110010011001111112211111111122221222111121121100000122112222222222
SLC25A33	223296_at	010110011121111122111212222210012221121111111111111012101111002101122212112212121210000010100000010001111221211220201121111100121112122211222222122021112211112111111010010000111111121121211011111101121110112100000111112222222222
RNF146	223886_s_at	222221222222222222222222222212222222122222222122222222221222222222222222222112222120200111020010020012222222222221011121122222222222222222222222222222222222222221221122212011212221212221222110122222221220222210211222222222222222
PGLYRP1	207384_at	100000100100010010000011201000100010010001000101100100011011011011011000010000000012112111202212212211000111100110000000000101001001001000110010100011011111010100000001010000010000100001010100000101000001000101000100000000000000
MAGI2	209737_at	011111110111101010111101111111111111122211221111111121111222102111211101011110112110010000120010020010111110111111111111111211211221221221211222212121122222212100111100000000000101001001112000000011101010110100110001102222222222
RHOD	209885_at	111001110000100100020011111000110011001110011101000000100101010110011222222122222212211121212212212210000111000101021010011101100001011101021111010011001101011100120011201001101111000100110001100100010101100011101100001211111111
FOXP2	243278_at	100000001101101110000100021002001011012222221011112211211121101112102112222222222210002100020020020021220110021000101222222110212222222222222222222122122222212101001000000000000110000001101000000001002010020210200200000011200211
STAG2	209022_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220210221020022020022222222222222222222212222222222222222222222222222222222222222222222222122222222222222222222222222222222222221221222222222222222
RHBDD1	233164_x_at	100000001101111100011011010101111011100010001001010001010001001010000000000000000012222222221211212120001111111011211000000101010000000000000000000100100000000000000000000000100001000000000000000000010100000000000000110000000000
RWDD3	205087_at	122121122222221122122222222221212222222222222121112222221221212212122212122112221210000010010010010011222221222221112221212122222222222222222222222221212222222221211222112111222212222222222222222222222220221221221222222222222212
RBMX	225310_at	222222222222222222222222222222222122222222222122222222222222212222222222222222221210100000010010020022222222222222222222222222222222222222222222222222121222222222222222222222222222222222222222222222222221222222222222222222222222
LOC100130216	228492_at	010022100200000020000000120200002120022202220120222200221222012222220122021020020220100001000011120000200220020021020001202021100020200000200000000200020020000220000022012001022000222220222000202222022120202002022202000000000000
ATP8B1	226302_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220220220110022020122222222222222222222222222222222222222222222222222222222222222222212212222222222222222222222222222222222222222222222222222222222
SP4	236265_at	001111011111110000011001021001111011111111111011111111111111101111110001111100111010000000010010010000111000011000100121112011211112121212112222111121112111112101101000001010111111100111101110011111101010111022212111112222222222
