ArrayID	ArrayHeader	ClinicalhHeader
GSM215112	GSM215112	GSM215112
GSM215114	GSM215114	GSM215114
GSM215084	GSM215084	GSM215084
GSM215102	GSM215102	GSM215102
GSM215086	GSM215086	GSM215086
GSM215107	GSM215107	GSM215107
GSM215095	GSM215095	GSM215095
GSM215085	GSM215085	GSM215085
GSM215097	GSM215097	GSM215097
GSM215083	GSM215083	GSM215083
GSM215087	GSM215087	GSM215087
GSM215101	GSM215101	GSM215101
GSM215113	GSM215113	GSM215113
GSM215109	GSM215109	GSM215109
GSM215108	GSM215108	GSM215108
GSM215110	GSM215110	GSM215110
GSM215090	GSM215090	GSM215090
GSM215103	GSM215103	GSM215103
GSM215091	GSM215091	GSM215091
GSM215089	GSM215089	GSM215089
GSM215105	GSM215105	GSM215105
GSM215106	GSM215106	GSM215106
GSM215104	GSM215104	GSM215104
GSM215100	GSM215100	GSM215100
GSM215099	GSM215099	GSM215099
GSM215088	GSM215088	GSM215088
GSM215096	GSM215096	GSM215096
GSM215093	GSM215093	GSM215093
GSM215111	GSM215111	GSM215111
GSM215094	GSM215094	GSM215094
GSM215098	GSM215098	GSM215098
GSM400178	GSM400178	GSM400178
GSM400174	GSM400174	GSM400174
GSM400175	GSM400175	GSM400175
GSM400179	GSM400179	GSM400179
GSM400177	GSM400177	GSM400177
GSM400176	GSM400176	GSM400176
GSM270782	GSM270782	GSM270782
GSM270784	GSM270784	GSM270784
GSM270785	GSM270785	GSM270785
GSM270783	GSM270783	GSM270783
GSM270781	GSM270781	GSM270781
GSM523251	GSM523251	GSM523251
GSM523277	GSM523277	GSM523277
GSM523281	GSM523281	GSM523281
GSM523259	GSM523259	GSM523259
GSM523256	GSM523256	GSM523256
GSM523247	GSM523247	GSM523247
GSM523244	GSM523244	GSM523244
GSM523261	GSM523261	GSM523261
GSM523254	GSM523254	GSM523254
GSM523252	GSM523252	GSM523252
