A_23_P252981	A_23_P100602	1	44	26	0	4.01	-3.02	-5.06	4.12	0.0287	0.967	0.946	0.00
A_23_P252981	A_23_P10062	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P100632	24	32	4	15	-0.655	0.667	1.41	-0.866	0.624	0.614	0.169	0.531
A_23_P252981	A_23_P100642	0	103	0	20	1.00	0.0981	1.00	0.218	0.00	0.911	0.00	0.557
A_23_P252981	A_23_P100654	0	20	21	0	3.32	-3.16	-3.02	3.32	0.00	0.952	0.955	0.00
A_23_P252981	A_23_P100660	128	104	36	4	1.01	-1.14	-2.20	3.00	0.663	0.700	0.548	0.0671
A_23_P252981	A_23_P100676	25	11	0	15	-1.65	1.84	2.83	-2.47	0.819	0.352	0.00	0.747
A_23_P252981	A_23_P100693	8	7	2	2	0.00	0.354	0.577	0.00	0.614	0.569	0.291	0.300
A_23_P252981	A_23_P100704	19	14	5	8	-0.236	0.500	0.756	-0.378	0.659	0.510	0.279	0.460
A_23_P252981	A_23_P100711	180	40	17	9	-0.225	0.603	0.873	-1.22	0.862	0.490	0.358	0.257
A_23_P252981	A_23_P100730	69	58	19	15	0.120	0.00	0.00	0.250	0.657	0.618	0.378	0.316
A_23_P252981	A_23_P100754	51	46	13	13	0.00	0.146	0.267	0.00	0.653	0.618	0.341	0.349
A_23_P252981	A_23_P100764	19	40	18	1	1.70	-1.41	-2.53	2.85	0.408	0.810	0.687	0.0369
A_23_P252981	A_23_P10077	58	76	26	4	1.32	-1.23	-2.50	2.84	0.556	0.751	0.572	0.0892
A_23_P252981	A_23_P100779	10	21	9	0	1.29	-0.970	-1.79	2.24	0.406	0.805	0.675	0.00
A_23_P252981	A_23_P100788	14	4	3	14	-1.67	1.90	2.00	-1.67	0.757	0.211	0.167	0.757
A_23_P252981	A_23_P100795	57	24	1	12	-0.990	1.41	2.67	-3.13	0.831	0.471	0.0442	0.591
A_23_P252981	A_23_P100802	5	28	18	0	2.58	-2.06	-3.00	3.16	0.178	0.895	0.849	0.00
A_23_P252981	A_23_P10081	33	46	15	8	0.811	-0.617	-1.21	1.39	0.543	0.706	0.466	0.239
A_23_P252981	A_23_P100868	7	10	6	0	0.949	-0.707	-1.00	1.73	0.444	0.732	0.643	0.00
A_23_P252981	A_23_P100872	33	30	7	21	-0.945	1.00	1.66	-1.25	0.660	0.523	0.206	0.564
A_23_P252981	A_23_P100883	3	0	0	3	-0.707	1.41	1.41	-0.707	0.750	0.00	0.00	0.750
A_23_P252981	A_23_P10091	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P100912	26	29	14	6	0.730	-0.588	-0.905	1.26	0.549	0.662	0.504	0.226
A_23_P252981	A_23_P100931	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P100935	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P100959	8	10	5	1	0.632	-0.333	-0.500	1.15	0.496	0.680	0.536	0.113
A_23_P252981	A_23_P100963	48	53	7	7	0.143	0.00	0.00	0.354	0.664	0.694	0.296	0.291
A_23_P252981	A_23_P100990	56	90	6	28	-0.700	0.612	1.73	-1.04	0.635	0.684	0.133	0.518
A_23_P252981	A_23_P100991	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101007	54	39	12	14	-0.277	0.463	0.775	-0.577	0.690	0.569	0.312	0.389
A_23_P252981	A_23_P101013	57	38	4	27	-1.62	1.70	3.00	-2.75	0.757	0.486	0.0948	0.626
A_23_P252981	A_23_P101025	267	2	0	51	-2.80	6.41	6.56	-14.0	0.993	0.0222	0.00	0.963
A_23_P252981	A_23_P101038	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101048	0	106	0	20	1.00	0.0967	1.00	0.218	0.00	0.913	0.00	0.555
A_23_P252981	A_23_P101054	142	16	16	29	-1.71	3.33	3.33	-6.01	0.893	0.224	0.224	0.630
A_23_P252981	A_23_P101073	35	75	4	25	-0.718	0.559	1.67	-0.873	0.595	0.709	0.117	0.540
A_23_P252981	A_23_P101084	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101093	7	2	6	5	-0.408	1.00	0.707	-0.500	0.600	0.225	0.464	0.521
A_23_P252981	A_23_P101111	23	24	4	0	0.400	-0.209	-0.577	1.41	0.650	0.730	0.471	0.00
A_23_P252981	A_23_P101121	1	197	33	10	5.10	-1.99	-9.83	4.44	0.0168	0.969	0.846	0.138
A_23_P252981	A_23_P101131	193	102	31	22	-0.218	0.389	0.676	-0.688	0.755	0.580	0.356	0.292
A_23_P252981	A_23_P101141	42	113	39	1	2.85	-2.31	-5.34	4.69	0.391	0.853	0.713	0.0165
A_23_P252981	A_23_P101185	9	26	20	0	2.29	-2.18	-2.71	3.16	0.275	0.843	0.810	0.00
A_23_P252981	A_23_P101193	6	27	17	0	2.50	-2.12	-3.18	3.16	0.213	0.879	0.826	0.00
A_23_P252981	A_23_P101208	0	180	28	0	5.00	-1.92	-12.0	5.00	0.00	0.994	0.966	0.00
A_23_P252981	A_23_P10121	124	74	15	14	-0.181	0.342	0.707	-0.577	0.754	0.602	0.304	0.312
A_23_P252981	A_23_P101237	12	12	4	8	-0.302	0.535	0.816	-0.378	0.593	0.526	0.271	0.498
A_23_P252981	A_23_P101240	62	110	11	11	0.372	-0.192	-0.667	0.802	0.598	0.769	0.313	0.284
A_23_P252981	A_23_P101246	95	14	0	40	-2.99	4.11	5.10	-6.45	0.927	0.191	0.00	0.851
A_23_P252981	A_23_P101253	17	10	12	8	0.00	0.302	0.277	0.00	0.587	0.442	0.486	0.401
A_23_P252981	A_23_P101258	34	25	3	14	-0.928	1.08	2.00	-1.67	0.731	0.521	0.123	0.564
A_23_P252981	A_23_P10127	159	101	31	13	0.313	-0.303	-0.567	0.970	0.721	0.633	0.426	0.201
A_23_P252981	A_23_P101272	0	15	14	1	2.83	-2.00	-2.12	2.67	0.00	0.910	0.904	0.0607
A_23_P252981	A_23_P101281	1	10	15	0	2.27	-2.24	-1.58	2.45	0.0711	0.871	0.910	0.00
A_23_P252981	A_23_P101297	89	117	14	19	0.00	0.0921	0.258	0.00	0.643	0.710	0.273	0.349
A_23_P252981	A_23_P101303	60	117	13	16	0.378	-0.187	-0.603	0.688	0.574	0.765	0.305	0.326
A_23_P252981	A_23_P101308	91	103	18	13	0.309	-0.199	-0.500	0.750	0.647	0.704	0.363	0.259
A_23_P252981	A_23_P101319	46	194	17	12	1.46	-0.737	-3.78	2.29	0.455	0.871	0.416	0.229
A_23_P252981	A_23_P101321	28	13	4	15	-1.28	1.57	2.11	-2.00	0.758	0.379	0.161	0.634
A_23_P252981	A_23_P101332	32	26	2	9	-0.557	0.730	1.63	-1.22	0.728	0.581	0.112	0.500
A_23_P252981	A_23_P101342	16	19	6	5	0.243	0.00	0.00	0.408	0.570	0.644	0.380	0.308
A_23_P252981	A_23_P10135	37	15	0	29	-2.65	2.60	3.74	-3.25	0.836	0.308	0.00	0.806
A_23_P252981	A_23_P101351	5	2	0	7	-1.15	1.34	1.73	-0.894	0.729	0.225	0.00	0.788
A_23_P252981	A_23_P101374	19	20	8	0	0.834	-0.728	-1.34	2.00	0.577	0.726	0.587	0.00
A_23_P252981	A_23_P101380	36	21	0	33	-2.71	2.37	3.74	-2.91	0.797	0.372	0.00	0.785
A_23_P252981	A_23_P101392	5	68	26	0	3.75	-2.38	-5.67	4.24	0.112	0.952	0.888	0.00
A_23_P252981	A_23_P1014	67	38	0	17	-1.18	1.44	3.16	-3.18	0.809	0.519	0.00	0.624
A_23_P252981	A_23_P101407	119	141	20	31	-0.185	0.250	0.626	-0.371	0.653	0.678	0.264	0.388
A_23_P252981	A_23_P101427	24	38	10	7	0.577	-0.333	-0.707	0.949	0.533	0.715	0.421	0.271
A_23_P252981	A_23_P101434	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101461	3	3	9	0	0.894	-0.707	-0.354	1.41	0.330	0.589	0.796	0.00
A_23_P252981	A_23_P101476	24	27	4	15	-0.655	0.718	1.41	-0.866	0.645	0.574	0.169	0.549
A_23_P252981	A_23_P101480	47	32	15	4	0.424	-0.365	-0.555	1.13	0.667	0.632	0.494	0.154
A_23_P252981	A_23_P101505	141	92	36	13	0.495	-0.536	-0.898	1.38	0.697	0.631	0.461	0.191
A_23_P252981	A_23_P101516	30	22	1	7	-0.577	0.784	1.79	-1.50	0.752	0.574	0.0712	0.506
A_23_P252981	A_23_P101521	53	80	4	44	-1.70	1.25	3.00	-1.91	0.655	0.619	0.0753	0.625
A_23_P252981	A_23_P101532	0	2	6	0	1.41	-1.00	-0.447	1.41	0.00	0.667	0.857	0.00
A_23_P252981	A_23_P101551	0	265	36	1	5.66	-2.03	-13.9	5.57	0.00	0.994	0.960	0.0150
A_23_P252981	A_23_P10156	4	3	0	7	-0.577	1.22	1.73	-0.408	0.650	0.324	0.00	0.756
A_23_P252981	A_23_P101564	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101573	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
